District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
11,1,2.0,3,1,2,3.9889840465642745,4.653960350157523,1.4816045409242156,1.3862943611198906,3.2,60.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,2,1,2,3.775057150354989,4.7086288943563215,1.5107219394949425,1.3862943611198906,4.0,93.9,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,4.0,2,3,2,3.3843902633457743,4.464758032271346,1.3862943611198906,1.8718021769015913,5.0,175.4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,1,1,2,3.66612246699132,4.084294226368599,1.3376291891386096,1.6094379124341003,2.75,72.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1.0,2,1,2,4.210645017918261,4.210645017918261,1.62924053973028,1.62924053973028,6.75,101.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,4,1,2,4.206184043977636,5.0912931971137105,1.9643112344262046,1.264126727145683,5.2,78.7,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,3,1,2,3.983413001514819,4.716711560720999,1.5260563034950492,1.5040773967762742,5.1,96.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,3,1,2,3.9926809084456005,4.48863636973214,1.8421356765531218,1.4469189829363254,4.86,91.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,2,1,2,3.9815490680767565,3.765840495250065,1.5260563034950492,1.5623463049002497,4.75,90.3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,3,1,2,4.104294893075269,5.161351511474879,1.6370530794670737,1.589235205116581,6.8,114.1,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
